id,client_id,module_id,current_step,total_steps,completed_steps,activity_id,activity_type,completed,responses,client_notes,insights,started_at,completed_at,time_spent_minutes,revisit_count,last_accessed,created_at,updated_at
3470e98c-587c-4df2-b4f8-2e39bac75789,226ae091-325e-4084-a467-bee2bc8405f6,module-3-protectors-unlocked,0,,{},,,f,{},,,,,,0,,2026-05-07 00:43:28.771539+00,2026-05-07 00:43:28.295+00
e5202bff-a396-4e56-9988-253da39266d8,1e395a30-ffd9-40b3-bf77-0b9861a54018,module-1-intro-ifs,0,,"{0,1,2,3}",,,f,"{""question-0"": ""h"", ""question-1"": ""h"", ""question-2"": ""h"", ""question-3"": ""h"", ""question-4"": ""h"", ""question-5"": ""h"", ""question-6"": ""h"", ""question-7"": ""h"", ""reflection-0"": ""h"", ""reflection-1"": ""h"", ""reflection-2"": ""h"", ""reflection-3"": ""h""}",,,,,,0,,2026-02-24 23:52:52.469323+00,2026-02-26 15:36:24.63166+00
35a91528-7eb4-4fef-b2ce-0b2499f67c34,1e395a30-ffd9-40b3-bf77-0b9861a54018,foundation-welcome,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:40.444763+00,2026-02-22 06:34:40.387+00
b76a40e1-67ca-4160-a2ab-3aa15bdb7cf2,1e395a30-ffd9-40b3-bf77-0b9861a54018,shame-inner-child-connection,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:40.444763+00,2026-02-22 06:34:40.387+00
83ae7253-c316-4ff9-aad8-7c6230c706c9,1e395a30-ffd9-40b3-bf77-0b9861a54018,shame-self-compassion-mastery,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:40.444763+00,2026-02-22 06:34:40.387+00
6bb55c9b-565e-4c4e-8562-1b4c696d40bb,1e395a30-ffd9-40b3-bf77-0b9861a54018,shame-inner-critic-work,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:40.444763+00,2026-02-22 06:34:40.387+00
a5de1b9c-19e0-4879-b5f9-bf23b71770b1,1e395a30-ffd9-40b3-bf77-0b9861a54018,integration-secondary-wound,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:40.444763+00,2026-02-22 06:34:40.387+00
dbf3bd83-2345-4032-9d5c-7c96ed1bb650,1e395a30-ffd9-40b3-bf77-0b9861a54018,intensive-healing-protocols,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:40.444763+00,2026-02-22 06:34:40.387+00
209ce6fc-3f6e-4050-882c-ef6b1a93cf46,1e395a30-ffd9-40b3-bf77-0b9861a54018,healing-consolidation,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:40.444763+00,2026-02-22 06:34:40.387+00
880838bf-8924-40ea-abed-80184ccb840f,d086f303-41a2-4f44-b7c8-34a4d878b0c5,foundation-welcome,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.140827+00,2026-02-22 06:34:41.072+00
7a80cdd2-2cf5-4652-9a38-e3ca71813975,d086f303-41a2-4f44-b7c8-34a4d878b0c5,abandonment-inner-child-connection,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.140827+00,2026-02-22 06:34:41.072+00
b0676994-5dc1-4289-9989-feeee6656c14,d086f303-41a2-4f44-b7c8-34a4d878b0c5,abandonment-secure-attachment-building,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.140827+00,2026-02-22 06:34:41.072+00
43d0a589-9c75-487f-aa31-9978b6852846,d086f303-41a2-4f44-b7c8-34a4d878b0c5,abandonment-self-soothing-mastery,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.140827+00,2026-02-22 06:34:41.073+00
9a0cbae8-8723-464b-b577-e931639d7726,d086f303-41a2-4f44-b7c8-34a4d878b0c5,integration-secondary-wound,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.140827+00,2026-02-22 06:34:41.073+00
61a981a8-7b44-4fe6-8869-95a9c5d77bb0,d086f303-41a2-4f44-b7c8-34a4d878b0c5,intensive-healing-protocols,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.140827+00,2026-02-22 06:34:41.073+00
cd0d1fae-0ef0-4cf1-8efd-2399d63f2907,d086f303-41a2-4f44-b7c8-34a4d878b0c5,healing-consolidation,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.140827+00,2026-02-22 06:34:41.073+00
3ffc0113-0bdd-4144-ab54-4b100025bae9,0dfc6875-7fcf-4522-ad9c-2b4d9bcd6d0e,foundation-welcome,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.778083+00,2026-02-22 06:34:41.722+00
67ae9502-a7d0-4921-8b95-cf29cf16c5b2,0dfc6875-7fcf-4522-ad9c-2b4d9bcd6d0e,shame-inner-child-connection,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.778083+00,2026-02-22 06:34:41.722+00
b20c3c7a-4faf-4ca5-8984-22d561637c91,0dfc6875-7fcf-4522-ad9c-2b4d9bcd6d0e,shame-self-compassion-mastery,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.778083+00,2026-02-22 06:34:41.722+00
cb43e31a-2ebc-4cda-b442-5e9dfbe5dcb6,0dfc6875-7fcf-4522-ad9c-2b4d9bcd6d0e,shame-inner-critic-work,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.778083+00,2026-02-22 06:34:41.722+00
3fb66c72-b236-48cd-8070-148f0f9e8717,0dfc6875-7fcf-4522-ad9c-2b4d9bcd6d0e,integration-secondary-wound,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.778083+00,2026-02-22 06:34:41.722+00
ce62bc57-3589-45d9-9388-f29bae7ea736,0dfc6875-7fcf-4522-ad9c-2b4d9bcd6d0e,intensive-healing-protocols,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.778083+00,2026-02-22 06:34:41.722+00
5a800d6f-8027-4f32-9b05-a9901182dcd8,0dfc6875-7fcf-4522-ad9c-2b4d9bcd6d0e,healing-consolidation,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:41.778083+00,2026-02-22 06:34:41.722+00
ef06d111-9fa1-4b5b-bd47-c7f1588d9ab4,15fad9b4-bbec-4ac2-a68a-dead475553cb,foundation-welcome,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:42.436738+00,2026-02-22 06:34:42.385+00
06e5c403-c608-41ee-b171-9a1f1e1e40d7,15fad9b4-bbec-4ac2-a68a-dead475553cb,neglect-inner-child-connection,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:42.436738+00,2026-02-22 06:34:42.385+00
9d31a322-755d-4f23-9848-097cbce22c42,15fad9b4-bbec-4ac2-a68a-dead475553cb,neglect-needs-identification,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:42.436738+00,2026-02-22 06:34:42.385+00
e20dbdab-5533-4732-83e2-95844682d255,15fad9b4-bbec-4ac2-a68a-dead475553cb,neglect-self-advocacy-skills,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:42.436738+00,2026-02-22 06:34:42.385+00
c2f31559-4a94-44c3-878d-773c2adaeb50,15fad9b4-bbec-4ac2-a68a-dead475553cb,integration-secondary-wound,0,,{},,,f,,,,,,,0,,2026-02-22 06:34:42.436738+00,2026-02-22 06:34:42.385+00
